sales_id,order_id,product_id,price_per_unit,quantity,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,product_type,product_name,size,colour,price,description
0,1,218,106,2,212,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75.0,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Shirt,Chambray,L,orange,105,"A orange coloured, L sized, Chambray Shirt"
1,1,481,118,1,118,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75.0,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Jacket,Puffer,S,indigo,110,"A indigo coloured, S sized, Puffer Jacket"
2,1,2,96,3,288,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75.0,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Shirt,Oxford Cloth,M,red,114,"A red coloured, M sized, Oxford Cloth Shirt"
3,1,1002,106,2,212,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75.0,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Trousers,Wool,M,blue,111,"A blue coloured, M sized, Wool Trousers"
4,1,691,113,3,339,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75.0,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Jacket,Parka,S,indigo,119,"A indigo coloured, S sized, Parka Jacket"
5,1,981,106,3,318,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75.0,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Trousers,Wool,S,red,111,"A red coloured, S sized, Wool Trousers"
6,2,915,96,1,96,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61.0,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Trousers,Drawstring,XS,orange,104,"A orange coloured, XS sized, Drawstring Trousers"
7,2,686,113,1,113,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61.0,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Jacket,Parka,S,blue,119,"A blue coloured, S sized, Parka Jacket"
8,2,1091,115,3,345,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61.0,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Trousers,Cropped,S,orange,99,"A orange coloured, S sized, Cropped Trousers"
9,2,1196,105,1,105,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61.0,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Trousers,Pleated,S,orange,90,"A orange coloured, S sized, Pleated Trousers"
10,2,157,91,3,273,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61.0,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Shirt,Linen,M,green,116,"A green coloured, M sized, Linen Shirt"
11,2,1174,99,2,198,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61.0,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Trousers,High-Waisted,XL,green,98,"A green coloured, XL sized, High-Waisted Trousers"
12,3,54,104,1,104,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34.0,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Shirt,Dress,XL,green,119,"A green coloured, XL sized, Dress Shirt"
13,3,6,96,2,192,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34.0,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Shirt,Oxford Cloth,S,orange,114,"A orange coloured, S sized, Oxford Cloth Shirt"
14,3,1010,106,2,212,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34.0,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,Trousers,Wool,XS,violet,111,"A violet coloured, XS sized, Wool Trousers"
15,4,1033,90,1,90,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46.0,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Trousers,Relaxed Leg,L,green,95,"A green coloured, L sized, Relaxed Leg Trousers"
16,4,1184,99,3,297,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46.0,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Trousers,High-Waisted,XL,indigo,98,"A indigo coloured, XL sized, High-Waisted Trousers"
17,4,769,109,1,109,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46.0,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Jacket,Peacoat,XL,violet,102,"A violet coloured, XL sized, Peacoat Jacket"
18,4,923,96,3,288,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46.0,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Trousers,Drawstring,L,yellow,104,"A yellow coloured, L sized, Drawstring Trousers"
19,4,12,96,2,192,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46.0,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,Shirt,Oxford Cloth,M,yellow,114,"A yellow coloured, M sized, Oxford Cloth Shirt"
20,5,148,91,2,182,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Shirt,Linen,L,orange,116,"A orange coloured, L sized, Linen Shirt"
21,5,475,118,2,236,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53.0,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,Jacket,Puffer,XS,blue,110,"A blue coloured, XS sized, Puffer Jacket"
